City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
218,Neyshabur,36.2133,58.7958,58.64,30,0,1.23,IR,2022-10-02 22:02:24
219,Saldanha,-33.0117,17.9442,57.31,82,1,2.77,ZA,2022-10-02 22:02:25
220,Sassandra,4.95,-6.0833,74.3,95,85,4.94,CI,2022-10-02 22:02:25
221,Kununurra,-15.7667,128.7333,71.58,94,93,2.3,AU,2022-10-02 21:59:22
222,Santiago De Cao,-7.9589,-79.2392,63.55,82,34,13.73,PE,2022-10-02 22:02:26
223,Rudnogorsk,57.2639,103.7519,27.0,91,100,7.29,RU,2022-10-02 22:02:26
224,Turukhansk,65.8167,87.9833,28.87,81,99,8.75,RU,2022-10-02 22:02:27
225,Koumac,-20.5667,164.2833,75.0,64,100,10.89,NC,2022-10-02 22:02:27
226,Pilar Do Sul,-23.8131,-47.7164,61.0,94,32,9.46,BR,2022-10-02 22:03:28
227,Guerrero Negro,27.9769,-114.0611,73.0,63,0,15.12,MX,2022-10-02 22:03:28
228,Archidona,37.0965,-4.3887,68.92,41,100,5.5,ES,2022-10-02 22:03:28
229,Kutum,14.2,24.6667,81.5,36,95,3.76,SD,2022-10-02 22:03:29
230,San Joaquin,37.9333,-121.3011,82.0,44,0,10.36,US,2022-10-02 22:03:29
231,Ancud,-41.8697,-73.8203,52.97,73,100,5.3,CL,2022-10-02 22:03:29
232,Edremit,39.5961,27.0244,67.75,45,20,14.97,TR,2022-10-02 22:03:29
233,Broome,42.2506,-75.833,59.02,72,0,4.61,US,2022-10-02 22:03:30
234,Edd,13.9297,41.6925,89.44,60,93,5.99,ER,2022-10-02 22:03:30
235,Nuuk,64.1835,-51.7216,36.21,64,20,4.61,GL,2022-10-02 22:03:31
236,Porto Novo,6.4965,2.6036,76.51,87,100,1.59,BJ,2022-10-02 22:03:32
237,Rifu,38.3236,140.9744,67.89,83,89,2.75,JP,2022-10-02 22:03:32
238,Bolshoye Murashkino,55.7826,44.7754,57.02,96,100,8.99,RU,2022-10-02 22:03:32
239,Sept-Iles,50.2001,-66.3821,47.05,48,42,5.01,CA,2022-10-02 22:03:02
240,Rumonge,-3.9736,29.4386,75.0,64,87,4.81,BI,2022-10-02 22:03:33
241,Araouane,18.9048,-3.5265,94.03,28,11,6.91,ML,2022-10-02 22:03:33
242,Ormara,25.2088,64.6357,79.38,82,15,9.08,PK,2022-10-02 22:01:22
243,Dunmore Town,25.5,-76.65,82.6,72,4,9.15,BS,2022-10-02 22:03:33
244,Fairbanks,64.8378,-147.7164,44.6,92,100,1.83,US,2022-10-02 22:03:34
245,Lodwar,3.1191,35.5973,83.97,36,80,5.5,KE,2022-10-02 22:03:34
246,Port Elizabeth,-33.918,25.5701,64.31,95,16,5.01,ZA,2022-10-02 22:00:23
247,Northam,51.0333,-4.2167,47.25,76,100,1.86,GB,2022-10-02 22:03:34
248,Bandarbeyla,9.4942,50.8122,77.45,79,100,21.54,SO,2022-10-02 22:03:35
249,Amapa,1.0,-52.0,83.14,52,80,4.97,BR,2022-10-02 22:03:35
250,Clyde River,70.4692,-68.5914,27.46,68,100,6.29,CA,2022-10-02 22:03:35
251,Middelburg,-25.7751,29.4648,69.08,42,0,8.03,ZA,2022-10-02 22:01:25
252,Basco,20.4487,121.9702,83.43,77,96,18.1,PH,2022-10-02 22:03:35
253,Yangambi,0.8102,24.4336,69.96,98,100,2.33,CD,2022-10-02 22:03:37
254,Codrington,-38.2667,141.9667,52.3,79,100,4.05,AU,2022-10-02 22:03:38
255,Port Lincoln,-34.7333,135.8667,62.26,62,100,14.43,AU,2022-10-02 22:00:48
256,Port Keats,-14.25,129.55,78.96,66,7,1.61,AU,2022-10-02 22:03:39
257,Nizwa,22.9333,57.5333,78.12,69,38,4.14,OM,2022-10-02 22:03:39
258,Hobyo,5.3505,48.5268,76.46,88,96,20.27,SO,2022-10-02 22:03:40
259,Rudnaya Pristan,44.3614,135.8116,56.28,88,94,2.39,RU,2022-10-02 22:03:40
260,Arman,59.7,150.1667,34.02,54,100,7.67,RU,2022-10-02 22:03:40
261,Plettenberg Bay,-34.0527,23.3716,61.05,69,0,11.01,ZA,2022-10-02 22:03:41
262,Pinega,64.7001,43.3936,38.84,97,100,4.61,RU,2022-10-02 22:03:41
263,Pacific Grove,36.6177,-121.9166,73.38,68,20,8.05,US,2022-10-02 22:03:27
264,Marathon,44.9,-89.7668,64.89,65,0,6.91,US,2022-10-02 22:03:41
265,Tres Picos,15.8667,-93.5333,84.63,66,94,3.36,MX,2022-10-02 22:03:42
266,Santa Maria,-29.6842,-53.8069,61.38,71,10,3.02,BR,2022-10-02 22:03:42
267,Puerto Escondido,15.85,-97.0667,86.83,51,20,5.75,MX,2022-10-02 22:03:42
268,Ulladulla,-35.35,150.4667,56.52,66,8,1.63,AU,2022-10-02 22:03:43
269,Yar-Sale,66.8333,70.8333,36.36,83,100,13.29,RU,2022-10-02 22:03:43
270,Hervey Bay,-25.2986,152.8535,63.01,88,58,8.99,AU,2022-10-02 22:03:16
271,Bubaque,11.2833,-15.8333,81.36,77,80,8.59,GW,2022-10-02 22:04:43
272,Muros,42.7762,-9.0603,61.84,83,98,7.87,ES,2022-10-02 22:04:44
273,Colac,-38.3333,143.5833,51.84,79,100,1.59,AU,2022-10-02 22:04:44
274,Okhotsk,59.3833,143.3,35.22,83,100,10.2,RU,2022-10-02 22:04:44
275,Impfondo,1.6381,18.0667,68.63,99,96,2.93,CG,2022-10-02 22:04:45
276,Bangangte,5.1409,10.5198,60.8,95,84,1.9,CM,2022-10-02 22:04:45
277,Necochea,-38.5473,-58.7368,45.5,76,79,9.37,AR,2022-10-02 22:04:45
278,Gambo,4.6482,22.2633,68.79,99,100,2.66,CF,2022-10-02 22:00:47
279,Sitka,57.0531,-135.33,55.35,59,93,2.82,US,2022-10-02 22:03:07
280,Erenhot,43.6475,111.9767,35.65,56,100,19.8,CN,2022-10-02 22:04:46
281,Talakan,50.3167,130.3667,37.83,93,100,7.0,RU,2022-10-02 22:04:46
282,Lircay,-12.9896,-74.7205,55.18,61,96,6.76,PE,2022-10-02 22:04:46
283,Havre-Saint-Pierre,50.2334,-63.5986,45.19,47,52,11.16,CA,2022-10-02 22:04:46
284,Sao Felix Do Xingu,-6.6447,-51.995,84.76,41,99,1.14,BR,2022-10-02 22:00:55
285,Panaba,21.2833,-88.2667,82.99,62,46,13.82,MX,2022-10-02 22:04:47
286,Castleisland,52.2333,-9.4667,52.18,85,100,3.76,IE,2022-10-02 22:04:47
287,Nizhneudinsk,54.9076,99.0276,21.09,95,42,3.53,RU,2022-10-02 22:04:47
288,Barcelos,41.5388,-8.6151,71.92,61,43,4.83,PT,2022-10-02 22:02:58
289,Ketchikan,55.3422,-131.6461,55.87,71,20,11.5,US,2022-10-02 22:04:48
290,Byron Bay,-28.65,153.6167,59.94,80,77,8.86,AU,2022-10-02 22:00:06
291,Reyes,-14.3167,-67.3833,85.68,49,42,2.17,BO,2022-10-02 22:04:48
