,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
270,Buluang,PH,13.3068,123.3425,86.54,71,86,1.03,overcast clouds
271,Tarata,BO,-17.6167,-66.0167,62.02,68,98,1.86,light rain
272,Santa Maria,BR,-29.6842,-53.8069,53.8,95,6,3.91,clear sky
273,Shache,CN,38.4167,77.2406,59.56,17,91,7.43,overcast clouds
274,Oistins,BB,13.0667,-59.5333,78.89,94,20,6.91,few clouds
275,Krasnoselkup,RU,65.7,82.4667,34.65,64,100,16.75,overcast clouds
276,Thunder Bay,CA,48.4001,-89.3168,40.98,93,20,2.3,fog
277,Perelyub,RU,51.8667,50.3667,55.42,42,62,19.64,broken clouds
278,Yinchuan,CN,38.4681,106.2731,53.65,45,100,7.78,overcast clouds
279,Linhares,BR,-19.3911,-40.0722,70.16,91,47,2.13,scattered clouds
280,Manbij,SY,36.5281,37.9549,70.07,59,1,8.55,clear sky
281,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,53,75,6.71,broken clouds
282,Maningrida,AU,-12.0667,134.2667,89.17,52,58,11.48,broken clouds
283,Dalby,AU,-27.1833,151.2667,75.97,33,2,1.99,clear sky
284,Kenai,US,60.5544,-151.2583,49.03,96,100,5.75,light rain
285,Chumikan,RU,54.7183,135.315,42.58,53,71,16.28,broken clouds
286,Mutoko,ZW,-17.397,32.2268,54.86,55,0,3.67,clear sky
287,Berberati,CF,4.2612,15.7922,66.51,99,100,2.66,overcast clouds
288,Pisco,PE,-13.7,-76.2167,59.05,88,100,8.05,mist
289,Kuytun,RU,54.3419,101.5036,34.81,57,80,9.4,broken clouds
290,Fortuna,US,40.5982,-124.1573,59.94,82,3,1.61,clear sky
291,Santa Cruz,BO,-17.8,-63.1667,76.46,47,100,14.97,overcast clouds
292,Gerash,IR,27.6652,54.1371,73.54,60,10,3.6,clear sky
293,Kysyl-Syr,RU,63.8986,122.7617,31.82,55,62,6.96,broken clouds
294,Khash,IR,28.2211,61.2158,69.39,21,0,4.21,clear sky
295,Cornwall,CA,45.0181,-74.7281,34.99,93,0,0.0,clear sky
296,Tiksi,RU,71.6872,128.8694,26.62,89,100,7.72,overcast clouds
297,Kruisfontein,ZA,-34.0033,24.7314,56.14,87,0,12.97,clear sky
298,Baykit,RU,61.67,96.37,33.66,66,90,6.04,overcast clouds
299,Namibe,AO,-15.1961,12.1522,66.07,81,95,8.08,overcast clouds
300,Port Lincoln,AU,-34.7333,135.8667,62.91,62,100,5.21,overcast clouds
301,Huilong,CN,31.8111,121.655,84.76,70,3,12.55,clear sky
302,Bonavista,CA,48.6499,-53.1147,45.18,66,30,13.76,scattered clouds
303,Kayerkan,RU,69.3497,87.7602,30.52,100,100,12.41,light snow
304,Nohar,IN,29.1833,74.7667,88.0,32,0,12.37,clear sky
305,Guane,CU,22.2025,-84.0875,72.28,82,27,4.63,scattered clouds
306,Bell Ville,AR,-32.6259,-62.6887,60.42,43,86,8.93,overcast clouds
307,Sistranda,NO,63.7256,8.834,48.16,80,67,24.63,broken clouds
308,Halifax,CA,44.6453,-63.5724,44.6,80,99,10.36,overcast clouds
309,Manzanillo,CU,20.3433,-77.1167,76.28,87,76,4.23,light rain
310,Kirakira,SB,-10.4544,161.9205,83.91,72,94,5.84,overcast clouds
311,Esil,KZ,51.9556,66.4042,40.21,38,0,8.59,clear sky
312,Tiznit,MA,29.5833,-9.5,74.26,28,0,6.29,clear sky
313,Agirish,RU,61.9247,63.0231,39.18,95,100,11.39,light rain
314,Nieuw Amsterdam,SR,5.8833,-55.0833,80.02,88,89,6.31,overcast clouds
315,Khatanga,RU,71.9667,102.5,25.66,97,99,11.59,light snow
316,Zyryanka,RU,65.75,150.85,29.7,65,100,4.34,overcast clouds
317,Kuito,AO,-12.3833,16.9333,60.04,65,96,4.45,overcast clouds
318,Bucerias,MX,20.75,-105.3333,79.99,100,100,4.61,overcast clouds
319,Key Largo,US,25.0865,-80.4473,78.01,64,16,8.41,few clouds
320,Dublin,US,37.7021,-121.9358,64.8,75,0,9.22,clear sky
321,Beringovskiy,RU,63.05,179.3167,39.76,79,98,11.39,overcast clouds
322,Guia Lopes Da Laguna,BR,-21.4578,-56.1142,67.96,86,29,3.65,scattered clouds
323,Muana,BR,-1.5283,-49.2167,76.62,89,83,6.22,broken clouds
324,Kathu,TH,7.9178,98.3332,80.42,70,88,5.44,overcast clouds
325,Panguna,PG,-6.3164,155.4848,79.84,66,50,0.85,light rain
326,Wanaka,NZ,-44.7,169.15,49.26,68,57,3.38,broken clouds
327,Greer,US,34.9387,-82.2271,60.78,80,100,8.05,overcast clouds
328,Arraial Do Cabo,BR,-22.9661,-42.0278,68.72,90,100,6.2,overcast clouds
329,Nova Varos,RS,43.4606,19.8114,47.01,82,77,2.68,broken clouds
330,Synya,RU,65.3718,58.0387,42.26,98,100,5.19,overcast clouds
331,Nefteyugansk,RU,61.0998,72.6035,36.79,63,100,17.29,overcast clouds
332,Vardo,NO,70.3705,31.1107,40.98,81,100,8.05,overcast clouds
333,Waitati,NZ,-45.75,170.5667,50.7,55,81,12.01,broken clouds
